,title,compressibility
53,Easy A,0.20696054864253394
54,Ed TV,0.34058672044256105
55,Ed Wood,0.24759893713473818
56,Edward Scissorhands,0.34616773207042284
57,Eight Legged Freaks,0.27125281907925836
58,El Mariachi,15.0
59,Election,0.3448197943735171
60,"Elephant Man, The",0.2126499964184608
61,Elizabeth: The Golden Age,0.22153846153846155
62,Enemy of the State,3.8095238095238093
63,"English Patient, The",1.1401869158878504
64,Enough,0.24745101605683048
65,Entrapment,0.27772238429943663
66,Equilibrium,15.0
67,Erik the Viking,1.0236220472440944
68,Erin Brockovich,0.25271595640619454
69,Escape From L.A.,0.23480478145288172
70,Escape From New York,0.3463000689776865
71,Eternal Sunshine of the Spotless Mind,0.3208361078139023
72,Even Cowgirls Get the Blues,0.2489535821175743
73,Event Horizon,0.19320827288370052
74,Evil Dead,0.27146144726748644
75,Evil Dead II: Dead by Dawn,0.2425254461661842
76,Ex Machina,0.2378795671096217
77,Excalibur,0.22836319958446955
78,Executive Decision,
79,eXistenZ,0.24162064946229753
80,Extract,0.2332266712790798
81,Eyes Wide Shut,
82,Rachel Getting Married,0.1857843016928905
83,Raging Bull,0.2955637817330642
84,Raising Arizona,0.34040652827022494
85,Rambling Rose,0.31639690957203737
86,Rambo: First Blood II: The Mission,1.1401869158878504
87,"Reader, The",0.20863490088645906
88,Real Genius,0.3611859838274933
89,Rear Window,0.20167950224078668
90,Rebel Without A Cause,0.2622103222232481
91,Red Planet,0.3614295347269049
92,Red Riding Hood,0.22432247686331655
93,Reindeer Games,0.2183921376436126
94,"Relic, The",0.25793655733283544
95,Remember Me,0.2587753994982257
96,"Replacements, The",0.28776978417266186
97,Repo Man,0.19713276658709886
98,"Rescuers Down Under, The",0.3515978862606945
99,Reservoir Dogs,0.22743989334804396
100,Resident Evil,1.5145631067961165
101,Return of the Apes,1.0810810810810811
102,"Revenant, The",0.21582352589249848
103,Revolutionary Road,0.20327822994948708
104,Ringu,0.33305482727822755
105,Rise of the Guardians,0.19856094587757514
106,Rise of the Planet of the Apes,0.2565100043726723
107,RKO 281,0.28002116814750855
108,"Road, The",0.23517228115337388
109,Robin Hood: Prince of Thieves,0.28068682806094825
110,Robocop,15.0
111,"Rock, The",0.3404308367407998
112,RocknRolla,0.21002279045305416
113,Rocky,0.338495654351014
114,"Rocky Horror Picture Show, The",0.3255650992175141
115,Romeo & Juliet,0.25645567213541276
116,Ronin,0.2681454713209288
117,Room,0.22820195873347912
118,"Roommate, The",0.2297852483794723
119,Roughshod,0.19665576025267903
120,"Ruins, The",0.2535464926590538
121,Runaway Bride,0.31549107474437377
122,Rush,0.2422928228026877
123,Rush Hour,0.34084699860123213
124,Rush Hour 2,0.3444123444123444
125,Rushmore,15.0
126,Rust and Bone,0.23569881647185909
127,Take Shelter,0.24070078032962802
128,Taking Lives,0.262370641400213
129,"Taking of Pelham One Two Three, The",0.22643661976915885
130,Taking Sides,0.20809398096156448
131,"Talented Mr. Ripley, The",0.2582938793648623
132,Tall in the Saddle,0.19803358117598546
133,Tamara Drewe,0.22145083279025743
134,Taxi Driver,0.2824025071083162
135,Ted,0.20205744729324757
136,Terminator,0.25196270469325394
137,Terminator 2: Judgement Day,0.28769480359864313
138,Terminator Salvation,0.2386052121788077
139,The Rage: Carrie 2,0.25630740673572366
140,Thelma & Louise,0.19413403923663575
141,"Theory of Everything, The",0.1847416220651586
142,There's Something About Mary,1.1818181818181819
143,They,0.15610766045548655
144,"Thing, The",0.21896477568969602
145,"Things My Father Never Taught Me, The",0.34039929083481074
146,Thirteen Days,0.3315145795708763
147,This Boy's Life,0.24417942934522993
148,This is 40,0.2300866204892519
149,Thor,0.23191845802592873
150,Thor Ragnarok,0.2639577407557903
151,Three Kings,0.24458741684379712
152,Three Kings (Spoils of War),0.2373884980436583
153,Three Men and a Baby,0.24203956244006306
154,"Three Musketeers, The",0.23071221330396663
155,Thunderbirds,0.18577069660571538
156,Thunderheart,0.23391654201637174
157,Ticker,0.21499939111727082
158,Timber Falls,0.2730005114736763
159,"Time Machine, The",0.2650203599106791
160,Tin Cup,0.25001595032006974
161,Tin Men,0.20465948759455022
162,Tinker Tailor Soldier Spy,0.25864055041348244
163,Titanic,0.2962673151449126
164,TMNT,0.23433963805711017
165,To Sleep with Anger,0.33140347998656133
166,Tombstone,0.29386419319409673
167,Tomorrow Never Dies,0.2653522800762065
168,Top Gun,1.565217391304348
169,Total Recall,0.2620783469457732
170,"Tourist, The",0.23906619223325457
171,Toy Story,1.1377777777777778
172,Traffic,0.3351244677542177
173,Training Day,0.2292747482778228
174,Trainspotting,0.28704201613226854
175,Transformers: The Movie,0.27826867116439125
176,Tremors,2.2127659574468086
177,Tristan and Isolde,0.19598193427814983
178,TRON,0.23462888959124384
179,TRON: Legacy,0.24995275841148915
